Longitude,Latitude,Index
-0.33479000000000003,51.508669,0
-0.334662,51.50872,1
-0.334646,51.508667,2
-0.334643,51.508757,3
-0.334518,51.508718,4
-0.334502,51.508665,5
-0.334499,51.508755,6
-0.334355,51.50875300000001,7
-0.33421100000000004,51.508751,8
