Longitude,Latitude,Index
-0.057428,51.514385,0
-0.057284,51.514382,1
-0.057161,51.514433,2
-0.05715700000000001,51.514523,3
-0.05714,51.51438,4
-0.057017,51.514431,5
-0.056995,51.514377,6
-0.056873,51.514429,7
-0.056851,51.514375,8
-0.056584,51.514424,9
