Longitude,Latitude,Index
-0.138579,51.556617,0
-0.138575,51.556707,1
-0.138571,51.556797,2
-0.138447,51.556847,3
-0.138439,51.55702700000001,4
-0.138434,51.556615,5
-0.138431,51.556705,6
-0.138427,51.556795,7
-0.138423,51.556885,8
-0.138416,51.557064,9
-0.138303,51.556845,10
-0.13829,51.556613,11
-0.138283,51.556792,12
-0.138139,51.55679,13
